"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 16 08:11:23 GMT 2025","Thu Oct 16 08:11:26 GMT 2025","2791","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Thu Oct 16 08:11:29 GMT 2025","Thu Oct 16 08:11:31 GMT 2025","2377","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Thu Oct 16 08:11:20 GMT 2025","Thu Oct 16 08:11:22 GMT 2025","2694","LMS system","Authentication","Authorization","","","Attempt to login with email:   ",""
"passed","Thu Oct 16 08:11:23 GMT 2025","Thu Oct 16 08:11:28 GMT 2025","4752","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Thu Oct 16 08:11:20 GMT 2025","Thu Oct 16 08:11:22 GMT 2025","2431","LMS system","Authentication","Authorization","","","Attempt to login with email: user.name@gmail.com",""
"passed","Thu Oct 16 08:11:20 GMT 2025","Thu Oct 16 08:11:22 GMT 2025","2413","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Thu Oct 16 08:11:29 GMT 2025","Thu Oct 16 08:11:33 GMT 2025","3713","LMS system","Courses","Courses","","","Edit course",""
"passed","Thu Oct 16 08:11:23 GMT 2025","Thu Oct 16 08:11:25 GMT 2025","2493","LMS system","Authentication","Authorization","","","Attempt to login with email: user.name@gmail.com",""
"passed","Thu Oct 16 08:11:23 GMT 2025","Thu Oct 16 08:11:24 GMT 2025","1706","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Thu Oct 16 08:11:24 GMT 2025","Thu Oct 16 08:11:30 GMT 2025","5032","LMS system","Courses","Courses","","","Create course",""
