"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3063","Attempt to login with email: user.name@gmail.com","tests.authentication","2025-10-09","passed","2025-10-09","TestAuthorization","test_authorization","",""
"","1334","Check displaying of empty courses list","tests.courses","2025-10-09","passed","2025-10-09","TestCourses","test_courses","",""
"","1701","Create course","tests.courses","2025-10-09","passed","2025-10-09","TestCourses","test_courses","",""
"","2786","User login with correct email and password","tests.authentication","2025-10-09","passed","2025-10-09","TestAuthorization","test_authorization","",""
"","2610","Edit course","tests.courses","2025-10-09","passed","2025-10-09","TestCourses","test_courses","",""
"","1896","Check displaying of dashboard page","tests.dashboard","2025-10-09","passed","2025-10-09","TestDashboard","test_dashboard","",""
"","2349","Attempt to login with email: user.name@gmail.com","tests.authentication","2025-10-09","passed","2025-10-09","TestAuthorization","test_authorization","",""
"","0","test_regression_case","tests.pytest","2025-10-09","passed","2025-10-09","","test_markers","",""
"","0","test_login","tests.pytest","2025-10-09","passed","2025-10-09","TestUserAuthentication","test_markers","",""
"","0","test_critical_login","tests.pytest","2025-10-09","passed","2025-10-09","","test_markers","",""
"","0","test_logout","tests.pytest","2025-10-09","passed","2025-10-09","TestUserAuthentication","test_markers","",""
"","2021","Registration with correct email, username and password","tests.authentication","2025-10-09","passed","2025-10-09","TestRegistration","test_registration","",""
"","0","test_forgot_password_link","tests.pytest","2025-10-09","passed","2025-10-09","TestUserInterface","test_markers","",""
"","0","test_password_reset","tests.pytest","2025-10-09","passed","2025-10-09","TestUserAuthentication","test_markers","",""
"","2137","Navigation from login page to registration page","tests.authentication","2025-10-09","passed","2025-10-09","TestAuthorization","test_authorization","",""
"","1884","Attempt to login with email:   ","tests.authentication","2025-10-09","passed","2025-10-09","TestAuthorization","test_authorization","",""
